episode,reward
298,17.09309
299,6.154983
300,1.740796
301,1.971107
302,15.553036
303,16.995103
304,3.599399
305,17.157551
306,3.620002
307,9.303494
308,5.16536
309,17.543458
310,17.202536
311,3.340296
312,5.724919
313,17.211782
314,16.830131
315,9.503685
316,16.725546
317,2.839959
318,14.442285
319,8.685406
320,17.45418
321,17.249511
322,17.600991
323,1.836066
324,6.675816
325,6.415088
326,6.893443
327,16.651775
328,5.257794
329,1.979588
330,17.00108
331,8.591208
332,3.707304
333,17.471447
334,17.618036
335,13.979135
336,14.840206
337,2.745519
338,11.716799
339,17.89559
340,16.843395
341,16.87232
342,9.15161
343,9.965242
344,16.779948
345,16.495848
346,17.23269
347,16.797835
348,17.496492
349,5.954864
350,2.096752
351,3.679946
352,3.671392
353,16.700927
354,13.929344
355,16.799316
356,16.649804
357,9.489857
358,16.791116
359,6.691974
360,17.502009
361,16.722944
362,5.929345
363,16.389045
364,17.439765
365,16.683989
366,12.457379
367,8.256582
368,16.8809
369,16.945488
370,16.724802
371,6.855872
372,3.654341
373,2.167925
374,5.674742
375,16.552842
376,9.282707
377,3.299313
378,16.700905
379,2.713115
380,16.610216
381,16.769971
382,16.691858
383,17.700016
384,17.001608
385,14.159784
386,17.594821
387,17.772979
388,13.88893
389,17.781657
390,16.750136
391,16.913687
392,10.955054
393,16.737187
394,16.651177
395,17.571019
396,17.077383
397,16.95377
398,16.659972
399,17.075964
400,16.749583
401,2.978473
402,17.544835
403,16.724616
404,10.346665
405,6.083032
406,16.781098
407,16.889452
408,16.920275
409,16.741556
410,16.632758
411,5.397054
412,16.766525
413,2.785081
414,16.709152
415,16.807105
416,17.044808
417,17.467635
418,16.692019
419,16.512404
420,6.343693
421,3.742512
422,16.71716
423,16.864887
424,17.056466
425,16.850076
426,16.823312
427,16.7789
428,16.96885
429,16.740942
430,16.929897
431,16.651775
432,1.900901
433,16.692345
434,3.628575
435,16.422078
436,16.618437
437,16.635352
438,2.852076
439,2.720929
440,16.659783
441,7.626085
442,11.847945
443,16.709124
444,8.669821
445,16.692015
446,16.650354
447,16.905869
448,16.651203
449,2.004178
450,16.81571
451,16.484694
452,17.049396
453,3.451032
454,10.148793
455,3.671749
456,16.708435
457,16.700379
458,16.825487
459,4.540601
460,6.82352
461,17.494862
462,16.925115
463,17.020627
464,16.741367
465,16.700791
466,16.487841
467,5.171611
468,17.027863
469,16.683848
470,2.729125
471,17.2654
472,16.569808
473,4.373059
474,16.65142
475,17.350824
476,16.512431
477,16.503851
478,17.290734
479,16.479644
480,16.716942
481,16.758333
482,16.610791
483,17.036051
484,17.107597
485,17.060676
486,6.036638
487,16.479644
488,10.451035
489,16.593849
490,2.086145
491,5.289694
492,6.610788
493,16.946122
494,17.32926
495,5.782373
496,17.159039
497,9.278526
498,16.813112
499,16.634834
500,17.354833
501,16.643195
502,16.855358
503,16.889094
504,16.684559
505,16.80713
506,16.553386
507,16.422267
508,7.254335
509,16.741181
510,5.921694
511,16.87306
512,16.791116
513,17.032813
514,17.01184
515,10.041835
516,16.594398
517,16.504234
518,4.319513
519,16.684557
520,10.84571
521,13.626504
522,16.602185
523,10.516234
524,16.913693
525,16.863964
526,16.471444
527,16.806964
528,5.388879
529,16.610242
530,16.98524
531,17.036636
532,16.963061
533,16.741538
534,16.569259
535,16.88948
536,10.0288
537,16.512404
538,16.733743
539,17.307513
540,16.7168
541,2.096752
542,17.101659
543,16.708555
544,16.455054
545,16.649178
546,16.757946
547,9.667229
548,16.675816
549,16.618824
550,5.405842
551,16.594015
552,16.978904
553,17.183794
554,2.888305
555,16.741939
556,1.9875
557,16.758333
558,17.094114
559,16.642842
560,16.733739
561,16.446857
562,15.474833
563,17.052656
564,8.463223
565,16.504234
566,9.311504
567,16.709149
568,16.536641
569,16.602407
570,16.937894
571,16.569808
572,16.700763
573,12.948251
574,17.142618
575,17.214748
576,16.725546
577,17.192751
578,16.63937
579,4.192755
580,11.806284
581,16.749949
582,17.061587
583,16.790166
584,16.56923
585,17.019815
586,17.158437
587,16.66762
588,16.553391
589,9.200572
590,17.217065
591,16.914047
592,16.803491
593,17.061608
594,16.519891
595,17.077239
596,16.795133
597,16.684535
598,16.700956
599,16.765981
600,16.741363
601,12.331331
602,16.709152
603,16.430437
604,16.884544
605,16.730573
606,16.921343
607,16.594398
608,16.487841
609,16.627181
610,16.634995
611,16.438661
612,16.979644
613,16.71716
614,16.896255
615,16.577622
616,16.848492
617,16.798763
618,16.676365
619,17.298929
620,17.01184
621,6.197173
622,7.479261
623,16.413521
624,16.831364
625,1.995697
626,16.487841
627,16.666863
628,16.544668
629,16.929888
630,16.591253
631,16.700955
632,16.921891
633,17.077409
634,16.586202
635,4.665653
636,16.659972
637,14.168169
638,16.681032
639,16.725546
640,16.414042
641,12.676365
642,16.733743
643,16.520625
644,16.496038
645,16.763931
646,17.13535
647,16.558985
648,16.725381
649,17.143579
650,16.537021
651,16.405874
652,16.487458
653,16.81571
654,16.479644
655,16.487841
656,16.553415
657,16.552865
658,8.339916
659,16.963224
660,3.680328
661,17.06019
662,16.537021
663,16.929684
664,16.537021
665,16.569808
666,16.67634
667,16.81571
668,16.692759
669,16.405874
670,16.787101
671,16.594398
672,12.446668
673,16.807133
674,16.520438
675,12.594398
676,16.766529
677,16.586013
678,16.601854
679,2.867431
680,16.569808
681,16.69257
682,17.028055
683,16.594398
684,16.573797
685,16.897652
686,16.496011
687,13.381284
688,16.848497
689,16.977674
690,16.569808
691,16.855408
692,16.553004
693,16.537021
694,16.709152
695,16.462701
696,16.741911
697,16.733743
698,16.512241
699,16.692759
700,16.676176
701,16.561611
702,16.41407
703,16.635193
704,16.618962
705,16.41407
706,16.496038
707,16.673768
708,16.592977
709,16.684009
710,16.610792
711,16.520435
712,16.667956
713,16.782922
714,16.741391
715,16.75011
716,16.807513
717,16.700956
718,16.733552
719,16.668169
720,16.553415
721,16.602595
722,16.512242
723,4.364093
724,16.659972
725,16.749587
726,16.659972
727,8.55339
728,16.578004
729,16.804891
730,16.569044
731,16.651775
732,16.782734
733,16.659945
734,16.749753
735,16.815133
736,16.561611
737,16.50402
738,16.618799
739,16.635382
740,16.405874
741,16.552452
742,16.684535
743,16.651775
744,16.675982
745,16.873087
746,16.897677
747,16.651775
748,16.504234
749,16.700572
750,16.405874
751,4.192755
752,16.667785
753,16.725332
754,16.643029
755,16.48784
756,16.700401
757,16.651775
758,16.528635
759,16.81571
760,16.684559
761,16.553411
762,16.520627
763,16.585465
764,16.963251
765,16.568387
766,16.733743
767,16.586175
768,16.725546
769,16.733743
770,16.66723
771,16.627185
772,16.512431
773,11.676176
774,16.976115
775,16.545218
776,16.848113
777,16.569808
778,16.733743
779,16.586202
780,16.487458
781,16.528799
782,16.5862
783,16.758332
784,7.430464
785,16.586012
786,16.765953
787,16.47964
788,16.405874
789,16.512431
790,16.799316
791,16.602595
792,16.717349
793,16.602568
794,16.504234
795,16.405874
796,16.758306
797,16.487841
798,16.856314
799,16.520628
800,16.946857
801,16.487841
802,17.037018
803,17.30689
804,16.81571
805,16.602211
806,17.061611
807,16.504234
808,16.569621
809,16.610241
810,16.528821
811,16.749727
812,4.200955
813,3.671749
814,16.496038
815,16.422267
816,16.733743
817,17.049393
818,16.602591
819,16.471447
820,16.799316
821,16.602406
822,16.651775
823,16.561062
824,16.84776
825,16.405874
826,16.725543
827,16.545029
828,16.421718
829,16.758144
830,16.618988
831,17.027537
832,16.725546
833,16.692759
834,16.692383
835,8.356693
836,16.487458
837,16.741939
838,16.430437
839,16.733743
840,1.811093
841,16.569808
842,16.496038
843,16.733743
844,16.487458
845,16.567211
846,16.578005
847,11.086202
848,16.651775
849,16.643579
850,16.561062
851,16.79112
852,16.553411
853,16.504045
854,16.487841
855,16.553411
856,16.864514
857,9.987812
858,8.438637
859,16.618439
860,16.676365
861,16.627185
862,17.061587
863,16.446307
864,12.561611
865,16.717349
866,16.610602
867,16.569808
868,16.487837
869,16.545218
870,16.430464
871,9.118988
872,16.766526
873,16.553411
874,16.618411
875,16.724616
876,16.496038
877,16.405874
878,16.405874
879,16.569781
880,16.586202
881,16.471447
882,16.618988
883,16.724996
884,16.733743
885,16.782922
886,16.684562
887,10.782373
888,9.848497
889,16.709152
890,16.955053
891,16.967404
892,2.872746
893,16.724996
894,16.586202
895,16.717349
896,16.626442
897,16.979644
898,16.528821
899,16.422078
900,16.782919
901,16.658855
902,16.692759
903,16.749548
904,16.872537
905,16.897677
906,16.422267
907,16.56524
908,16.668169
909,16.528635
910,16.716973
911,16.557593
912,16.487841
913,16.405874
914,16.709126
915,16.569621
916,16.799316
917,16.748999
918,16.790547
919,16.724996
920,16.651775
921,16.856311
922,16.700956
923,16.659972
924,16.561611
925,16.438657
926,16.651775
927,17.027376
928,16.495848
929,16.651586
930,11.843891
931,8.307513
932,16.733743
933,16.569808
934,16.561423
935,16.643413
936,5.881284
937,7.749587
938,16.81571
939,16.864152
940,16.553414
941,16.649782
942,16.936063
943,16.750136
944,16.651775
945,16.487841
946,16.643579
947,16.545217
948,16.553415
949,16.81571
950,17.077621
951,16.880709
952,16.692759
953,16.651389
954,5.037021
955,16.569425
956,16.405874
957,16.479644
958,16.897677
959,16.864341
960,16.405874
961,16.651775
962,16.405874
963,2.496009
964,12.80347
965,16.651775
966,16.512431
967,16.487838
968,16.504231
969,16.930457
970,16.602591
971,16.405874
972,16.586202
973,16.537018
974,16.651226
975,16.594398
976,16.848496
977,16.62697
978,16.586202
979,16.545218
980,16.405874
981,16.568387
982,16.578001
983,16.569808
984,16.692734
985,16.733743
986,16.799288
987,16.651775
988,16.422078
989,9.463036
990,16.81571
991,16.897128
992,16.496037
993,16.733743
994,8.533002
995,16.405874
996,16.405874
997,16.733743
998,16.675982
999,16.733743
1000,16.405874
1001,5.102383
1002,16.553415
1003,16.569808
1004,16.81571
1005,16.569808
1006,16.828439
1007,16.757232
1008,16.733742
1009,16.561062
1010,16.733743
1011,16.81571
1012,16.979641
1013,16.405874
1014,16.733743
1015,16.77415
1016,16.815709
1017,16.733743
1018,16.774726
1019,16.635382
1020,16.405874
1021,16.733743
1022,16.528824
1023,16.495848
1024,16.635382
1025,16.709149
1026,16.640981
1027,16.709149
1028,16.512431
1029,2.593249
1030,16.717349
1031,16.733743
1032,16.405874
1033,16.487841
1034,16.815334
1035,16.659971
1036,16.512431
1037,7.528824
1038,3.508034
1039,16.781314
1040,16.487841
1041,16.855272
1042,14.209149
1043,16.635379
1044,16.815709
1045,16.676365
1046,16.487841
1047,16.438661
1048,16.487841
1049,16.455054
1050,4.971447
1051,16.41407
1052,16.692758
1053,5.086008
1054,16.897677
1055,16.577455
1056,16.569808
1057,11.085819
1058,16.700955
1059,16.733743
1060,16.487841
1061,16.79112
1062,16.733743
1063,5.028437
1064,16.651775
1065,16.569808
1066,16.733743
1067,16.569808
1068,16.81571
1069,16.569808
1070,16.71716
1071,16.79617
1072,3.373058
1073,16.561611
1074,16.815523
1075,16.651775
1076,16.676176
1077,16.602595
1078,16.569808
1079,16.413521
1080,16.651775
1081,16.586178
1082,16.561611
1083,16.684562
1084,16.569808
1085,16.708769
1086,16.81571
1087,16.709126
1088,16.594398
1089,16.479095
1090,16.405874
1091,16.700952
1092,16.815327
1093,17.075407
1094,16.81571
1095,16.856693
1096,16.487458
1097,16.684562
1098,16.733743
1099,16.569808
1100,16.733743
1101,16.691337
1102,16.733743
1103,16.990385
1104,16.733743
1105,16.635382
1106,16.569808
1107,16.807513
1108,16.979644
1109,16.676365
1110,16.897677
1111,16.804911
1112,16.733743
1113,16.528824
1114,16.733743
1115,16.463251
1116,16.733743
1117,16.733715
1118,16.832103
1119,16.733743
1120,16.405874
1121,5.094398
1122,16.512431
1123,16.569808
1124,16.676365
1125,16.725546
1126,16.561611
1127,16.733743
1128,16.405874
1129,16.405874
1130,16.569808
1131,16.81571
1132,16.725522
1133,16.774722
1134,16.733743
1135,16.578005
1136,16.733743
1137,16.733743
1138,16.573797
1139,16.512431
1140,16.81571
1141,3.504019
1142,16.733743
1143,16.676338
1144,16.512431
1145,16.897677
1146,11.643579
1147,16.733743
1148,16.733743
1149,16.656822
1150,16.855928
1151,16.700952
1152,16.692758
1153,16.81571
1154,16.668169
1155,16.806965
1156,16.709152
1157,16.405874
1158,16.640981
1159,16.487838
1160,16.627185
1161,16.684179
1162,16.71716
1163,16.81571
1164,16.577978
1165,16.241939
1166,16.561611
1167,16.733743
1168,16.569808
1169,16.684562
1170,16.413521
1171,16.569808
1172,16.66762
1173,16.487841
1174,16.430464
1175,16.602591
1176,16.733743
1177,16.618964
1178,2.118745
1179,16.733743
1180,16.405874
1181,16.651775
1182,16.405874
1183,16.487841
1184,16.700952
1185,16.70058
1186,16.81571
1187,16.733743
1188,16.41407
1189,16.897677
1190,16.535598
1191,16.487841
1192,16.610788
1193,16.487841
1194,16.520628
1195,16.405874
1196,16.700955
1197,7.397677
1198,12.561611
1199,16.405874
1200,16.405874
1201,16.733714
1202,16.504234
1203,16.81571
1204,16.81571
1205,16.618988
1206,16.7168
1207,16.733743
1208,5.85614
1209,16.405874
1210,16.487841
1211,16.733743
1212,16.815685
1213,16.709152
1214,16.586202
1215,16.537018
1216,16.569808
1217,16.667619
1218,9.856693
1219,16.766525
1220,16.635382
1221,16.733743
1222,16.651392
1223,16.405874
1224,16.651588
1225,16.692759
1226,16.618988
1227,16.537021
